기준일,요일,성별,연령대,시도,시군구,업종,통화건수
20160101,금,남,50대,서울특별시,강남구,중국집,121
20160101,금,여,50대,서울특별시,강남구,중국집,72
20160101,금,남,30대,서울특별시,강남구,중국집,248
20160101,금,남,40대,서울특별시,강남구,중국집,163
20160101,금,여,20대,서울특별시,강남구,중국집,82
20160101,금,여,40대,서울특별시,강남구,중국집,151
20160101,금,남,20대,서울특별시,강남구,중국집,137
20160101,금,여,10대,서울특별시,강남구,중국집,13
20160101,금,여,60대이상,서울특별시,강남구,중국집,38
20160101,금,남,10대,서울특별시,강남구,중국집,22
20160101,금,남,60대이상,서울특별시,강남구,중국집,28
20160101,금,여,30대,서울특별시,강남구,중국집,165
20160101,금,남,20대,서울특별시,강동구,중국집,58
20160101,금,여,20대,서울특별시,강동구,중국집,41
20160101,금,여,40대,서울특별시,강동구,중국집,73
20160101,금,여,30대,서울특별시,강동구,중국집,83
20160101,금,여,50대,서울특별시,강동구,중국집,32
20160101,금,남,30대,서울특별시,강동구,중국집,110
20160101,금,남,50대,서울특별시,강동구,중국집,58
20160101,금,남,60대이상,서울특별시,강동구,중국집,24
20160101,금,남,10대,서울특별시,강동구,중국집,16
20160101,금,여,60대이상,서울특별시,강동구,중국집,24
20160101,금,여,10대,서울특별시,강동구,중국집,7
20160101,금,남,40대,서울특별시,강동구,중국집,83
20160101,금,여,20대,서울특별시,강북구,중국집,36
20160101,금,남,20대,서울특별시,강북구,중국집,55
20160101,금,남,40대,서울특별시,강북구,중국집,56
20160101,금,남,30대,서울특별시,강북구,중국집,85
20160101,금,남,50대,서울특별시,강북구,중국집,37
20160101,금,여,30대,서울특별시,강북구,중국집,54
20160101,금,여,50대,서울특별시,강북구,중국집,44
20160101,금,여,60대이상,서울특별시,강북구,중국집,17
20160101,금,여,10대,서울특별시,강북구,중국집,6
20160101,금,남,60대이상,서울특별시,강북구,중국집,27
20160101,금,남,10대,서울특별시,강북구,중국집,9
20160101,금,여,40대,서울특별시,강북구,중국집,65
20160101,금,남,40대,서울특별시,강서구,중국집,125
20160101,금,여,40대,서울특별시,강서구,중국집,143
20160101,금,여,20대,서울특별시,강서구,중국집,73
20160101,금,남,50대,서울특별시,강서구,중국집,75
20160101,금,남,30대,서울특별시,강서구,중국집,162
20160101,금,여,50대,서울특별시,강서구,중국집,55
20160101,금,여,30대,서울특별시,강서구,중국집,133
20160101,금,여,10대,서울특별시,강서구,중국집,6
20160101,금,여,60대이상,서울특별시,강서구,중국집,37
20160101,금,남,10대,서울특별시,강서구,중국집,15
20160101,금,남,60대이상,서울특별시,강서구,중국집,41
20160101,금,남,20대,서울특별시,강서구,중국집,92
20160101,금,여,40대,서울특별시,관악구,중국집,81
20160101,금,남,40대,서울특별시,관악구,중국집,112
20160101,금,남,20대,서울특별시,관악구,중국집,130
20160101,금,여,50대,서울특별시,관악구,중국집,59
20160101,금,여,30대,서울특별시,관악구,중국집,111
20160101,금,남,50대,서울특별시,관악구,중국집,42
20160101,금,남,30대,서울특별시,관악구,중국집,189
20160101,금,남,10대,서울특별시,관악구,중국집,16
